"Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Tax status","In stock?","Stock","Categories","Images","Upsells","Cross-sells","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global","Sale price","Regular price"
"Simple","RN00018","Yellow Gold Onyx Oval Ring for Men",1,,"visible","18k Yellow Gold Onyx Oval Ring for Men","<li>18k yellow gold with round brilliant onyx</li>\n  <li>Size 62</li>\n <li>Gram total weight 6.81</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-RN00018.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-RN00018.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-RN00018.jpg,",,,"Gold Type","Yellow Gold",1,1,,,,,"Color","Black",1,1,"Shape","Round",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"59 MM 60 MM 61 MM 62 MM 63 MM 64 MM 65 MM",1,1,"Gold Weight  (g)",6.81,1,1,,,,,,,,,,"2,002"
"Simple","RN00028","Yellow Gold Onyx Line Ring for Men",1,,"visible","18k Yellow Gold Onyx Line Ring for Men"," <li>18k yellow gold with  squre face brilliant onyx</li>\n  <li>Size 62</li>\n  <li>Gram total weight 7.75</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-RN00028.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-RN00028.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-RN00028.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-RN00028.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,"Color","Black",1,1,"Shape","Line",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"59 MM 60 MM 61 MM 62 MM 63 MM 64 MM 65 MM",1,1,"Gold Weight  (g)",7.75,1,1,,,,,,,,,,"2,279"
"Simple","RN00026","Yellow Gold Dollar Sign Ring For Men",1,,"visible","18k yellow Gold Big Dollar Sign Gold Ring for Men"," <li>18k yellow gold with BIG Dollar Sign </li>\n  <li>Size 65</li>\n  <li>Gold Gram total weight 14.43</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-RN00026.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-RN00026.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-RN00026.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Dollar",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"62 MM 63 MM 64 MM 65 MM 66 MM 67 MM 68 MM",1,1,"Gold Weight  (g)",14.43,1,1,,,,,,,,,,"4,242"
"Simple","PN00006","Yellow Gold Engraved Pendant Mother Marry UNISEX",1,,"visible","18k yellow Gold Engraved Mother Marry Gold Necklace Pendant"," <li>18k yellow gold engraved mother marry pendant for chain and necklace</li>\n  <li>Size 30*30mm</li>\n  <li>Gram total weight 5.80</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Pendants, Gold Jewellery, Gold Jewellery > Women, Gold Jewellery > Women > Pendants","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-PN00006.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-PN00006.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-PN00006.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,,,,,"Engraving","Mother Marry ",1,1,"Gold Purity","18K",1,1,,,,,"Size",,"30*30 MM",1,1,"Gold Weight  (g)",5.8,1,1,,,,,,,,,,"1,705"
"Simple","PN00009","Yellow Gold Engraved Arabic Religius Pendant UNISEX",1,,"visible","18k yellow Gold Vintage Allah Muslim Islam Ayatul Kursi Arabic Necklace Pendant Islamic Quran Arab Religious Jewellery"," <li>18k yellow gold engraved pendant for chain and necklace </li>\n  <li>Size 30*30mm</li>\n  <li>Gram total weight 5.55</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Pendants, Gold Jewellery, Gold Jewellery > Women, Gold Jewellery > Women > Pendants","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-PN00009.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-PN00009.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,,,,,"Engraving","Arabic Religius ",1,1,"Gold Purity","18K",1,1,,,,,"Size",,"30*30 MM",1,1,"Gold Weight  (g)",5.55,1,1,,,,,,,,,,"1,632"
"Simple","DR00210","Rose Gold Diamond Ring with Sapphire for Women",1,,"visible","Intricately designed in 18k Rose gold, this contemporary ring design features a perfect color stone and round  diamonds ."," <li>18k rose gold with round brilliant diamonds</li>\n  <li>Size54 </li>\n</li>\n  <li>DiamondCarat 0.30 Other stone 3.30ct Gold total weight 6.53</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00210.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00210.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DR00210.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DR00210.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/E-DR00210.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/F-DR00210.jpg",,,"Gold Type","Rose Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Full Face Stone",1,1,,,,,"Gold Purity","18K",1,1,"Stone","Color Stone",1,1,"Size",,"51 MM 52 MM 53 MM 54 MM 55 MM 56 MM 57 MM",1,1,"Gold Weight  (g)",6.53,1,1,"Diamond Carat (Cts)",0.3,1,1,"Sapphire (Cts)",3.3,1,1,"6,934","7,704"
"Simple","DR00208","Rose Gold Diamond Saphhire Twirling Ring for Women",1,,"visible","Intricately designed in 18k Rose gold, this contemporary ring design features a perfect color stone and round  diamonds ."," <li>18k rose gold with round brilliant diamonds</li>\n  <li>Size54</li>\n</li>\n  <li>DiamondCarat 0.63 Other stone 1.41ct Gold total weight 8.59</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00208.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00208.jpg",,,"Gold Type","Rose Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Twirling ",1,1,,,,,"Gold Purity","18K",1,1,"Stone","Color Stone",1,1,"Size",,"51 MM 52 MM 53 MM 54 MM 55 MM 56 MM 57 MM",1,1,"Gold Weight  (g)",8.59,1,1,"Diamond Carat (Cts)",0.63,1,1,"Sapphire (Cts)",1.41,1,1,"8,399","9,332"
"Simple","PN00020","Yellow Gold Engraved Dollar Sign Pendant UNISEX",1,,"visible","18k yellow Gold Engraved dollar sign pendant for chain necklace"," <li>18k yellow gold engraved pendant </li>\n  <li>Size 50*50mm</li>\n  <li>Gram total weight 14.03</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Pendants, Gold Jewellery, Gold Jewellery > Women, Gold Jewellery > Women > Pendants","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-PN00020.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-PN00020.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,,,,,"Engraving","Dollar Sign ",1,1,"Gold Purity","18K",1,1,,,,,"Size",,"50*50 MM",1,1,"Gold Weight  (g)",14.03,1,1,,,,,,,,,,"4,125"
"Simple","DR00175","Yellow Gold Super luxury Diamond Ring for Men",1,,"visible","18kt yellow Gold Super luxury Half round Diamond Ring"," <li>18k yellow gold with half round brilliant diamond </li>\n  <li>Size63</li>\n  <li>Diamond 3.12 carrat Gold Gram total weight 12.02</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Men, Diamond Jewellery > Men > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00175.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00175.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DR00175.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DR00175.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/E-DR00175.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Full Face Diamond",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"60 MM 61 MM 62 MM 63 MM 64 MM 65 MM 66 MM",1,1,"Gold Weight  (g)",12.02,1,1,"Diamond Carat (Cts)",3.12,1,1,,,,,"15,855","17,616"
"Simple","DR00179","Yellow Gold Channel setting Diamond Ring for Women",1,,"visible","18kt yellow Gold  channel setting round diamond ring"," <li>18k yellow gold with  brilliant diamond </li>\n  <li>Size55</li>\n  <li>Diamond 3.12 carrat Gold Gram total weight 12.02</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00179.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00179.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DR00179.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DR00179.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"52 MM 53 MM 54 MM 55 MM 56 MM 57 MM 58 MM",1,1,"Gold Weight  (g)",3.16,1,1,"Diamond Carat (Cts)",0.81,1,1,,,,,"5,091","5,657"
